company,website,location,contact_name,contact_role,email,phone,fit_notes,source
The Letting Agency London,https://www.tla-london.co.uk/,"London, UK",,,info@tla-london.co.uk,"020 8234 6874","Specialist in property management and residential lettings; strong match for maintenance-workflow automation.",https://www.tla-london.co.uk/
Home Hunters Ltd,https://homehunters.org.uk/,"Sutton, London, UK",,,info@homehunters.org.uk,"07441 437676","Property management and guaranteed rent focus across London boroughs; likely operational admin around landlord and tenant workflows.",https://homehunters.org.uk/contact-us
Kinleys,https://www.kinleys.co.uk/,"North & North West London, UK",,,lettings@kinleys.co.uk,"020 8050 9959","Lettings and management specialist; ARLA-regulated and likely process-heavy for landlord, tenant, and maintenance coordination.",https://www.kinleys.co.uk/
Pure Lettings,https://www.pure-lettings.co.uk/,"Orpington, Kent / South East London, UK",Trevor Doran,Managing Director,info@pure-lettings.co.uk,"01689 400100","Dedicated lettings and property management agency; clear fit for maintenance, compliance, and renewal workflow automation.",https://www.pure-lettings.co.uk/about/meet-the-team
View Lettings,https://www.viewlettings.com/,"London Bridge, London, UK",Oliver Newbery,Director & Co-founder,info@viewlettings.com,"02073788696","Independent central London agency; likely fit for lead routing, tenant onboarding, and property-management admin automation.",https://www.viewlettings.com/about-us
View Lettings,https://www.viewlettings.com/,"London Bridge, London, UK",Nathan Coveney,Director & Co-founder,info@viewlettings.com,"02073788696","Independent central London agency; second founder contact from team page for direct outreach testing.",https://www.viewlettings.com/about-us
FoundFirst,https://www.foundfirst.eu/,"Edmonton, London, UK",,,info@foundfirst.eu,"0208 807 4050","North London letting agency with 24-hour maintenance and landlord services messaging; strong pain-point fit.",https://www.foundfirst.eu/contact-us
Bright Letting,https://brightletting.com/,"London, UK",,,info@brightletting.com,"07546273346","London-based letting agency combining tenant management with renovation services; likely coordination-heavy operation.",https://brightletting.com/
David English Ltd,https://denglish.co.uk/,"Acton / Chiswick, West London, UK",David English,Founder / Principal,hello@denglish.co.uk,"0203 758 4490","Independent West London agency covering lettings and management; owner-led structure is a good fit for direct outreach.",https://denglish.co.uk/contact/
Oaktree (West London) Ltd,https://www.oaktreewestlondon.co.uk/,"Ealing, London, UK",,,enquiries@oaktreewestlondon.co.uk,"020 8997 8533","Established independent letting and estate agent with management and investor services; good fit for operations automation.",https://www.oaktreewestlondon.co.uk/contact-us/
